ID,GrassDensity,PitchMoisture,PitchHardness,CracksOnPitch,BouncinessOfPitch,Target
0xf07,42.6362705369304,39.1086052121342,30.416481575776,10.4724685749963,56.8939254402746,0
0x1a86,35.6296861528796,23.9804790239137,55.0526957040289,12.3587936065411,60.4939112290951,0
0x2b7f,59.3700942492822,44.6667043358237,47.3540895323497,8.27054963433421,51.8066666052958,0
0x2844,64.6175842968326,31.5616189426995,45.5741137997367,7.55726712577854,,1
0x22d8,26.6001384544802,,49.1817870666776,15.2781316071135,,1
0x1627,57.2240142189172,48.951008192771,42.1127693283045,9.40180687197711,57.129734478083,1
0x16fd,22.2080334741571,30.6950410797259,60.2594929912014,12.730455861597,66.9460849437384,0
0x2c4e,21.8043110872107,20.569019929209,,17.3596714608136,61.636167713281,0
0x106e,30.608506682892,29.8032769172556,60.1104409241535,16.3851045903588,59.0246005317989,0
0x137d,38.3671623790895,,,12.7198604262266,73.3083016711353,0
0x18d5,50.7005292880089,,48.5689422699516,4.45566905672757,57.7914422077567,1
0x112f,39.8443288503986,33.476895083432,47.6755185881593,11.1891191030801,65.306256680604,0
0x909,39.8898526544615,,46.9343613946765,18.1274227235402,58.1241181123352,1
0xf31,63.6320859839987,52.044259311449,26.2599760388433,4.08050521239956,60.6527821154552,1
0x114d,39.4421992025836,28.1276397221593,42.9716819639711,18.8463998937473,73.4695164103417,0
0x16db,45.4159273585693,35.9794222966198,40.637343901963,4.36071340976605,56.1728413565474,1
0x2ac1,44.4527613513704,42.2852940099268,47.0275204115423,7.36731638096575,56.2874469214666,1
0x1d98,63.2602666022134,41.2533996694296,48.1953625099363,8.18291007673578,58.5265112495204,1
0x1571,38.1888483631543,,52.0641873024147,12.1636615113929,58.6492956650263,0
0x675,41.7154133768218,36.2006898753221,27.2728797545576,7.01449696145124,56.1694319114041,1
0x2521,44.5594377402737,25.7103823312978,45.5371831157326,11.7177327215784,,0
0x22ce,28.8883219385921,26.025138971643,58.9083131697303,,61.507808400422,0
0xe24,54.3051717146606,35.7582654479844,42.696201422727,7.84189632649785,52.9582722393532,1
0x295b,30.5026025103115,31.1388341989665,54.7242795484244,19.5924611916197,61.6118668874059,0
0x1dff,64.616259713317,52.2487763218528,25.9312090034546,10.8500154012618,57.7961319893787,1
0x1b60,45.5772424616922,45.0327950641718,41.1843923229406,4.11021312489967,62.909544697692,0
